iter	Passed	Remaining
0	159	206642
1	168	109273
2	178	76955
3	185	60189
4	193	50187
5	201	43546
6	210	38912
7	218	35279
8	227	32633
9	236	30514
10	245	28743
11	252	27125
12	261	25908
13	269	24753
14	278	23850
15	286	22953
16	295	22282
17	303	21623
18	312	21050
19	320	20484
20	328	19996
21	336	19547
22	344	19122
23	352	18720
24	362	18507
25	371	18196
26	379	17914
27	390	17735
28	399	17530
29	408	17287
30	418	17118
31	425	16879
32	436	16746
33	444	16539
34	452	16353
35	459	16145
36	469	16019
37	478	15905
38	487	15757
39	496	15639
40	503	15471
41	513	15373
42	520	15218
43	529	15111
44	536	14969
45	544	14837
46	551	14711
47	561	14640
48	568	14524
49	576	14423
50	585	14347
51	593	14245
52	600	14132
53	607	14023
54	615	13930
55	622	13835
56	630	13740
57	638	13663
58	646	13608
59	656	13574
60	665	13513
61	674	13461
62	682	13406
63	693	13397
64	703	13369
65	713	13338
66	723	13308
67	731	13259
68	742	13240
69	752	13214
70	760	13157
71	769	13129
72	778	13087
73	788	13062
74	799	13057
75	809	13036
76	820	13039
77	830	13017
78	839	12970
79	849	12956
80	857	12908
81	866	12868
82	875	12830
83	884	12800
84	893	12769
85	900	12712
86	909	12682
87	917	12642
88	925	12598
89	933	12549
90	943	12528
91	950	12482
92	959	12448
93	967	12410
94	975	12371
95	982	12323
96	991	12292
97	999	12253
98	1007	12222
99	1014	12174
100	1022	12138
101	1029	12089
102	1036	12050
103	1043	12004
104	1051	11965
105	1058	11928
106	1065	11883
107	1072	11835
108	1078	11788
109	1085	11744
110	1092	11698
111	1100	11672
112	1107	11636
113	1117	11624
114	1125	11601
115	1135	11593
116	1144	11575
117	1153	11551
118	1161	11527
119	1168	11487
120	1177	11475
121	1185	11448
122	1193	11417
123	1201	11392
124	1209	11370
125	1217	11343
126	1226	11324
127	1236	11317
128	1244	11293
129	1252	11276
130	1261	11257
131	1268	11226
132	1276	11197
133	1283	11166
134	1291	11142
135	1297	11108
136	1305	11084
137	1313	11064
138	1321	11041
139	1328	11009
140	1335	10978
141	1342	10949
142	1346	10893
143	1354	10871
144	1360	10840
145	1368	10819
146	1376	10797
147	1383	10771
148	1390	10741
149	1398	10721
150	1405	10695
151	1413	10679
152	1422	10663
153	1430	10641
154	1438	10629
155	1449	10628
156	1457	10614
157	1465	10594
158	1473	10573
159	1480	10550
160	1487	10521
161	1495	10504
162	1502	10478
163	1509	10455
164	1515	10425
165	1522	10397
166	1529	10374
167	1535	10348
168	1541	10313
169	1547	10285
170	1554	10264
171	1561	10240
172	1567	10212
173	1574	10192
174	1582	10170
175	1589	10153
176	1594	10118
177	1602	10103
178	1611	10092
179	1621	10091
180	1630	10078
181	1640	10077
182	1645	10045
183	1654	10032
184	1660	10008
185	1668	9993
186	1676	9976
187	1684	9965
188	1693	9954
189	1702	9947
190	1710	9931
191	1715	9898
192	1722	9881
193	1732	9875
194	1740	9860
195	1746	9835
196	1755	9826
197	1762	9812
198	1771	9801
199	1781	9796
200	1790	9790
201	1799	9783
202	1807	9769
203	1816	9759
204	1824	9746
205	1832	9731
206	1840	9719
207	1848	9704
208	1855	9686
209	1863	9671
210	1870	9656
211	1878	9641
212	1886	9627
213	1893	9608
214	1900	9588
215	1907	9572
216	1914	9553
217	1922	9540
218	1929	9526
219	1939	9522
220	1946	9502
221	1953	9484
222	1959	9463
223	1966	9448
224	1973	9428
225	1980	9412
226	1986	9392
227	1994	9375
228	2001	9358
229	2007	9339
230	2014	9322
231	2017	9289
232	2024	9269
233	2031	9255
234	2038	9240
235	2047	9230
236	2054	9216
237	2062	9205
238	2072	9199
239	2080	9189
240	2088	9178
241	2096	9166
242	2104	9152
243	2111	9139
244	2119	9126
245	2128	9120
246	2137	9114
247	2145	9102
248	2154	9092
249	2162	9082
250	2171	9077
251	2179	9062
252	2186	9049
253	2195	9040
254	2204	9032
255	2209	9009
256	2216	8996
257	2224	8985
258	2232	8971
259	2239	8957
260	2246	8943
261	2255	8937
262	2263	8923
263	2271	8913
264	2278	8900
265	2287	8891
266	2294	8877
267	2303	8870
268	2313	8867
269	2321	8854
270	2329	8845
271	2337	8833
272	2346	8827
273	2353	8811
274	2361	8801
275	2367	8784
276	2376	8777
277	2383	8763
278	2391	8753
279	2399	8740
280	2406	8725
281	2412	8710
282	2418	8692
283	2425	8677
284	2431	8660
285	2438	8644
286	2445	8630
287	2452	8619
288	2459	8603
289	2465	8586
290	2472	8573
291	2478	8556
292	2486	8544
293	2492	8527
294	2498	8511
295	2507	8503
296	2516	8499
297	2524	8489
298	2532	8478
299	2540	8468
300	2549	8462
301	2557	8453
302	2565	8443
303	2574	8433
304	2581	8421
305	2589	8412
306	2598	8403
307	2605	8391
308	2612	8378
309	2616	8355
310	2623	8342
311	2632	8336
312	2641	8328
313	2649	8320
314	2658	8314
315	2668	8310
316	2677	8301
317	2686	8294
318	2697	8293
319	2701	8273
320	2711	8269
321	2719	8260
322	2728	8252
323	2732	8230
324	2743	8230
325	2747	8209
326	2772	8250
327	2780	8241
328	2790	8235
329	2794	8212
330	2797	8190
331	2806	8181
332	2814	8172
333	2822	8164
334	2831	8156
335	2841	8151
336	2849	8143
337	2859	8137
338	2868	8132
339	2877	8124
340	2885	8114
341	2893	8105
342	2901	8095
343	2909	8084
344	2917	8076
345	2926	8068
346	2935	8061
347	2942	8050
348	2950	8039
349	2956	8025
350	2964	8014
351	2971	8004
352	2979	7992
353	2986	7979
354	2995	7973
355	3003	7963
356	3014	7962
357	3024	7957
358	3033	7951
359	3045	7952
360	3055	7946
361	3064	7941
362	3075	7937
363	3083	7929
364	3093	7923
365	3101	7915
366	3111	7909
367	3120	7901
368	3127	7891
369	3137	7886
370	3145	7876
371	3154	7869
372	3161	7857
373	3170	7849
374	3177	7838
375	3187	7832
376	3196	7825
377	3205	7817
378	3213	7808
379	3221	7798
380	3228	7787
381	3237	7780
382	3246	7772
383	3255	7764
384	3261	7751
385	3269	7742
386	3277	7732
387	3285	7722
388	3292	7711
389	3301	7703
390	3309	7694
391	3318	7685
392	3328	7680
393	3337	7675
394	3346	7667
395	3354	7657
396	3361	7646
397	3369	7635
398	3377	7627
399	3384	7615
400	3392	7605
401	3401	7597
402	3410	7591
403	3418	7580
404	3426	7572
405	3434	7562
406	3442	7552
407	3449	7541
408	3456	7530
409	3464	7520
410	3474	7514
411	3482	7506
412	3491	7497
413	3499	7488
414	3508	7480
415	3516	7472
416	3524	7462
417	3531	7451
418	3540	7444
419	3550	7438
420	3558	7428
421	3565	7419
422	3573	7409
423	3583	7403
424	3591	7393
425	3599	7385
426	3606	7374
427	3615	7365
428	3621	7352
429	3628	7340
430	3635	7329
431	3641	7317
432	3648	7305
433	3655	7295
434	3665	7287
435	3672	7277
436	3681	7270
437	3690	7262
438	3698	7254
439	3708	7247
440	3717	7241
441	3727	7235
442	3735	7226
443	3745	7220
444	3754	7214
445	3762	7204
446	3771	7197
447	3780	7189
448	3788	7180
449	3795	7169
450	3802	7158
451	3809	7146
452	3815	7134
453	3822	7122
454	3828	7109
455	3837	7102
456	3843	7089
457	3850	7079
458	3856	7066
459	3863	7054
460	3869	7042
461	3876	7030
462	3883	7020
463	3889	7008
464	3898	7000
465	3904	6988
466	3910	6975
467	3917	6963
468	3923	6951
469	3931	6943
470	3941	6937
471	3949	6928
472	3958	6920
473	3966	6912
474	3984	6921
475	3992	6911
476	3999	6900
477	4005	6888
478	4013	6878
479	4020	6869
480	4028	6859
481	4035	6848
482	4043	6839
483	4050	6828
484	4057	6817
485	4064	6806
486	4071	6797
487	4078	6786
488	4085	6776
489	4095	6770
490	4103	6760
491	4110	6750
492	4118	6741
493	4126	6732
494	4134	6724
495	4141	6713
496	4148	6702
497	4157	6694
498	4163	6683
499	4171	6674
500	4178	6663
501	4186	6655
502	4193	6644
503	4207	6645
504	4216	6637
505	4222	6625
506	4229	6614
507	4235	6603
508	4242	6593
509	4250	6583
510	4257	6573
511	4266	6565
512	4274	6557
513	4283	6549
514	4289	6538
515	4296	6528
516	4303	6517
517	4311	6508
518	4316	6495
519	4323	6484
520	4329	6473
521	4336	6462
522	4343	6453
523	4350	6442
524	4357	6432
525	4363	6420
526	4369	6409
527	4376	6398
528	4383	6388
529	4392	6381
530	4400	6373
531	4408	6363
532	4414	6352
533	4422	6343
534	4429	6333
535	4437	6324
536	4445	6316
537	4452	6306
538	4461	6299
539	4470	6291
540	4477	6281
541	4487	6275
542	4494	6266
543	4503	6258
544	4509	6247
545	4518	6239
546	4524	6228
547	4532	6219
548	4539	6209
549	4547	6200
550	4553	6190
551	4560	6180
552	4567	6170
553	4574	6159
554	4581	6150
555	4589	6140
556	4598	6133
557	4604	6123
558	4612	6114
559	4621	6106
560	4630	6099
561	4637	6090
562	4647	6083
563	4656	6076
564	4663	6066
565	4670	6057
566	4677	6047
567	4684	6036
568	4691	6027
569	4698	6017
570	4706	6008
571	4712	5998
572	4721	5990
573	4728	5980
574	4736	5971
575	4742	5960
576	4748	5950
577	4756	5941
578	4762	5930
579	4769	5921
580	4777	5912
581	4784	5902
582	4791	5892
583	4798	5882
584	4804	5872
585	4810	5861
586	4828	5864
587	4836	5856
588	4843	5847
589	4852	5839
590	4860	5831
591	4868	5823
592	4876	5813
593	4884	5805
594	4891	5796
595	4899	5787
596	4906	5777
597	4915	5770
598	4922	5760
599	4930	5752
600	4937	5742
601	4944	5733
602	4951	5723
603	4958	5714
604	4965	5704
605	4973	5695
606	4981	5687
607	4988	5678
608	4995	5668
609	5004	5661
610	5012	5652
611	5021	5644
612	5027	5634
613	5037	5628
614	5044	5618
615	5052	5609
616	5058	5599
617	5065	5589
618	5072	5580
619	5079	5571
620	5086	5561
621	5094	5553
622	5102	5544
623	5109	5535
624	5117	5526
625	5123	5516
626	5131	5507
627	5138	5498
628	5146	5489
629	5155	5482
630	5163	5474
631	5170	5465
632	5179	5457
633	5186	5448
634	5195	5440
635	5202	5431
636	5208	5420
637	5215	5411
638	5221	5401
639	5228	5391
640	5234	5381
641	5241	5371
642	5247	5361
643	5253	5351
644	5260	5341
645	5266	5331
646	5273	5322
647	5279	5312
648	5285	5301
649	5293	5293
650	5299	5283
651	5306	5274
652	5314	5265
653	5322	5257
654	5329	5247
655	5337	5240
656	5345	5231
657	5354	5224
658	5362	5215
659	5371	5208
660	5377	5198
661	5385	5190
662	5392	5181
663	5400	5172
664	5407	5163
665	5415	5155
666	5422	5146
667	5429	5136
668	5438	5129
669	5446	5121
670	5453	5112
671	5460	5102
672	5467	5093
673	5475	5085
674	5482	5076
675	5489	5067
676	5497	5058
677	5505	5050
678	5512	5042
679	5520	5033
680	5528	5025
681	5537	5017
682	5545	5009
683	5553	5001
684	5561	4993
685	5568	4983
686	5575	4975
687	5582	4965
688	5591	4958
689	5600	4951
690	5608	4942
691	5615	4933
692	5622	4925
693	5629	4916
694	5637	4907
695	5643	4897
696	5650	4888
697	5658	4880
698	5664	4870
699	5671	4861
700	5678	4851
701	5684	4842
702	5691	4833
703	5697	4823
704	5704	4814
705	5710	4804
706	5717	4795
707	5724	4786
708	5731	4777
709	5738	4768
710	5745	4759
711	5752	4750
712	5759	4741
713	5767	4733
714	5773	4723
715	5783	4717
716	5791	4709
717	5801	4702
718	5809	4694
719	5816	4685
720	5824	4676
721	5832	4668
722	5838	4659
723	5847	4651
724	5854	4643
725	5862	4635
726	5871	4627
727	5878	4618
728	5887	4611
729	5895	4603
730	5904	4595
731	5911	4587
732	5919	4578
733	5927	4570
734	5934	4561
735	5941	4553
736	5948	4544
737	5956	4536
738	5963	4527
739	5971	4518
740	5979	4510
741	5987	4502
742	5994	4493
743	6001	4485
744	6008	4476
745	6015	4467
746	6022	4458
747	6029	4449
748	6039	4442
749	6046	4434
750	6054	4426
751	6065	4420
752	6073	4411
753	6081	4403
754	6088	4394
