iter	MultiClass
0	2.263740233
1	2.160774365
2	2.082310804
3	2.017279637
4	1.964945823
5	1.918752649
6	1.879836077
7	1.843995793
8	1.813479874
9	1.787628669
10	1.764026508
11	1.743535572
12	1.726206626
13	1.708184034
14	1.691826005
15	1.678308778
16	1.665910929
17	1.655687581
18	1.645346478
19	1.635653938
20	1.626550715
21	1.62045088
22	1.613872268
23	1.607561
24	1.601424214
25	1.59592273
26	1.591314682
27	1.586514457
28	1.581605624
29	1.578219247
30	1.574339304
31	1.571432074
32	1.568274759
33	1.565877122
34	1.562731465
35	1.560301413
36	1.557522627
37	1.555115385
38	1.552650931
39	1.550440562
40	1.548529673
41	1.545425359
42	1.543337486
43	1.541708661
44	1.539650759
45	1.538038698
46	1.536679248
47	1.534533922
48	1.533267519
49	1.531485771
50	1.529956369
51	1.528588923
52	1.527081973
53	1.52583518
54	1.524976061
55	1.524002619
56	1.522996719
57	1.521548554
58	1.51957926
59	1.518507896
60	1.517416679
61	1.516271548
62	1.514830479
63	1.514080684
64	1.5131502
65	1.511918797
66	1.510147223
67	1.50945615
68	1.508006319
69	1.506889603
70	1.506058168
71	1.5050246
72	1.50408413
73	1.503155622
74	1.5023067
75	1.501321983
76	1.499840879
77	1.498491708
78	1.497852118
79	1.496965395
80	1.495961165
81	1.494953001
82	1.49420736
83	1.49314447
84	1.492510563
85	1.49165621
86	1.490853208
87	1.490162232
88	1.489134268
89	1.488065419
90	1.486847278
91	1.485826389
92	1.485351538
93	1.484451847
94	1.483686676
95	1.482637595
96	1.481786222
97	1.481110292
98	1.479806177
99	1.479160038
100	1.478498779
101	1.477491057
102	1.476814942
103	1.476223255
104	1.475844967
105	1.475053242
106	1.474652024
107	1.474328452
108	1.473794477
109	1.472397902
110	1.471789728
111	1.471019415
112	1.470511781
113	1.470022896
114	1.469555903
115	1.468760899
116	1.468081834
117	1.467273734
118	1.466335122
119	1.465547076
120	1.464745436
121	1.464013636
122	1.463171093
123	1.462412867
124	1.461847116
125	1.461235143
126	1.460743148
127	1.459415001
128	1.459006253
129	1.458246748
130	1.457586025
131	1.456735268
132	1.456423211
133	1.455416512
134	1.454652283
135	1.453875896
136	1.453019462
137	1.452297552
138	1.451526875
139	1.450981138
140	1.450198853
141	1.449656544
142	1.448793102
143	1.448322762
144	1.448022596
145	1.447508738
146	1.447237675
147	1.446595747
148	1.44597424
149	1.445314733
150	1.444949072
151	1.444231927
152	1.443443698
153	1.442586792
154	1.44193023
155	1.4409147
156	1.440363865
157	1.439684406
158	1.439264361
159	1.438670262
160	1.43815825
161	1.437588883
162	1.437196733
163	1.436817009
164	1.436204544
165	1.435427633
166	1.434573175
167	1.434038186
168	1.43346727
169	1.432739123
170	1.43212735
171	1.431401413
172	1.43034066
173	1.429072236
174	1.428362644
175	1.427622474
176	1.426889453
177	1.425837188
178	1.425356518
179	1.424749621
180	1.424349027
181	1.423853423
182	1.423008156
183	1.422507384
184	1.422056503
185	1.421276161
186	1.420274448
187	1.419751396
188	1.419098589
189	1.418288571
190	1.417365274
191	1.416632753
192	1.415947509
193	1.41540622
194	1.414340836
195	1.413935885
196	1.413352129
197	1.412764206
198	1.412262733
199	1.411673269
