iter	Passed	Remaining
0	127	25341
1	245	24345
2	359	23586
3	479	23498
4	598	23324
5	723	23407
6	829	22865
7	943	22648
8	1056	22418
9	1172	22273
10	1285	22083
11	1399	21925
12	1513	21775
13	1627	21618
14	1738	21442
15	1852	21307
16	1963	21140
17	2080	21035
18	2189	20857
19	2337	21033
20	2468	21042
21	2593	20982
22	2702	20796
23	2813	20635
24	2920	20446
25	3031	20289
26	3138	20107
27	3247	19949
28	3358	19803
29	3476	19701
30	3592	19586
31	3702	19435
32	3810	19284
33	3918	19133
34	4026	18980
35	4137	18847
36	4245	18702
37	4353	18558
38	4461	18418
39	4580	18323
40	4691	18194
41	4797	18046
42	4905	17909
43	5013	17775
44	5124	17649
45	5237	17533
46	5352	17422
47	5467	17313
48	5578	17190
49	5692	17076
50	5801	16948
51	5910	16822
52	6019	16696
53	6134	16585
54	6239	16450
55	6347	16320
56	6457	16200
57	6570	16087
58	6682	15969
59	6795	15856
60	6904	15733
61	7013	15611
62	7118	15480
63	7230	15364
64	7341	15248
65	7455	15136
66	7565	15018
67	7675	14899
68	7789	14789
69	7911	14693
70	8024	14579
71	8131	14455
72	8242	14339
73	8355	14226
74	8474	14124
75	8608	14045
76	8727	13941
77	8837	13822
78	8942	13696
79	9053	13580
80	9159	13455
81	9268	13337
82	9372	13212
83	9485	13098
84	9592	12978
85	9704	12863
86	9813	12746
87	9923	12630
88	10033	12514
89	10142	12396
90	10253	12281
91	10363	12165
92	10475	12052
93	10586	11938
94	10693	11818
95	10802	11703
96	10912	11586
97	11020	11470
98	11133	11358
99	11238	11238
100	11351	11127
101	11464	11015
102	11573	10899
103	11680	10781
104	11785	10662
105	11895	10549
106	12001	10431
107	12109	10315
108	12216	10198
109	12336	10093
110	12448	9981
111	12559	9867
112	12665	9751
113	12774	9637
114	12888	9525
115	13001	9414
116	13114	9303
117	13226	9191
118	13337	9078
119	13448	8965
120	13559	8853
121	13664	8736
122	13775	8623
123	13887	8511
124	13996	8397
125	14105	8284
126	14216	8171
127	14329	8060
128	14439	7947
129	14551	7835
130	14656	7719
131	14765	7606
132	14867	7489
133	14980	7378
134	15085	7263
135	15196	7151
136	15311	7040
137	15418	6927
138	15535	6817
139	15650	6707
140	15754	6592
141	15861	6478
142	15982	6370
143	16089	6256
144	16192	6141
145	16300	6028
146	16403	5914
147	16525	5806
148	16632	5692
149	16741	5580
150	16844	5465
151	16958	5355
152	17070	5243
153	17174	5130
154	17281	5017
155	17395	4906
156	17511	4796
157	17622	4684
158	17726	4570
159	17834	4458
160	17939	4345
161	18046	4233
162	18151	4120
163	18262	4008
164	18372	3897
165	18489	3786
166	18597	3675
167	18704	3562
168	18808	3450
169	18919	3338
170	19031	3227
171	19139	3115
172	19251	3004
173	19364	2893
174	19475	2782
175	19586	2670
176	19690	2558
177	19804	2447
178	19911	2335
179	20020	2224
180	20129	2113
181	20235	2001
182	20350	1890
183	20463	1779
184	20569	1667
185	20680	1556
186	20794	1445
187	20900	1334
188	21015	1223
189	21122	1111
190	21230	1000
191	21339	889
192	21447	777
193	21561	666
194	21664	555
195	21775	444
196	21887	333
197	21995	222
198	22109	111
199	22220	0
