ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11383892;"Atletismo. Jornada de Menores. Federación de Atletismo de Madrid";"";"1";"0";"";"";"2021-05-22 00:00:00.0";"2021-05-22 23:59:00.0";"09:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=81da1d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"1";"AVENIDA";"DE LAS AGUILAS";"14";"LATINA";"LAS AGUILAS";"28044";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"/contenido/actividades/ActividadesDeportivas";"";
11241041;"Caminar por Madrid";"";"1";"1";"S,D";"";"2020-10-07 00:00:00.0";"2021-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fdcb6ab6ff105710VgnVCM1000001d4a900aRCRD";"Caminar por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=265829cc0b9f8410VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11320438;"Camino a Mercedes";"";"1";"0";"";"";"2021-11-04 00:00:00.0";"2021-11-04 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f357e1f5e2277710VgnVCM1000001d4a900aRCRD";"Camino a Mercedes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b57e1f5e2277710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"1";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/1ciudad21distritos";"";
11383894;"Campeonato de Madrid. FEMADDI";"";"1";"0";"";"";"2021-05-22 00:00:00.0";"2021-05-22 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3da1d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d92d79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Gallur";"1";"CALLE";"GALLUR";"2";"LATINA";"LOS CARMENES";"28047";"437595";"4472245";"40.398465832065";"-3.7353834506869217";"/contenido/actividades/ActividadesDeportivas";"";
11369869;"Carrera virtual Corre por la Esclerosis Múltiple";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-05-29 00:00:00.0";"2021-05-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=426c634f909e8710VgnVCM1000001d4a900aRCRD";"Carrera virtual Corre por la Esclerosis Múltiple";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=39a2e2dd6b7e8710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"/usuario/Discapacitados";
11233777;"Ciclismo por Madrid";"";"0";"1";"S,D";"";"2020-10-03 00:00:00.0";"2021-06-27 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b20bdee1a55c4710VgnVCM1000001d4a900aRCRD";"Ciclismo por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4cd5f98a5c668510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Ciclismo";"";
11234187;"Correr por Madrid";"";"0";"1";"L,M,X,J,V";"";"2020-10-01 00:00:00.0";"2021-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD";"Correr por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9def21a074077510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11317588;"Escuela Municipal de Piragüismo Puerta de Hierro";"";"0";"1";"M,V,S";"";"2021-02-02 00:00:00.0";"2021-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=21ca57e5c7267710VgnVCM1000001d4a900aRCRD";"Escuela Municipal de Piragüismo Puerta de Hierro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9b3742a4267710VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ad126c270caf410VgnVCM2000000c205a0aRCRD";"Parque Deportivo Puerta de Hierro";"3";"CARRETERA";"DE LA CORUÑA";"0";"MONCLOA-ARAVACA";"ARAVACA";"28023";"434536";"4477844";"40.44867766287966";"-3.7719919880519726";"/contenido/actividades/ActividadesDeportivas";"";
11383885;"Fútbol Sala. FEMADDI";"";"1";"0";"";"";"2021-05-22 00:00:00.0";"2021-05-22 23:59:00.0";"16:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c7da1d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"1";"AVENIDA";"DE LAS AGUILAS";"14";"LATINA";"LAS AGUILAS";"28044";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"/contenido/actividades/ActividadesDeportivas";"";
11383871;"Gimnasia Artística Masculina y Femenina";"";"1";"1";"S";"";"2021-05-22 00:00:00.0";"2021-05-29 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=72f91d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"1";"AVENIDA";"DE LAS AGUILAS";"14";"LATINA";"LAS AGUILAS";"28044";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"/contenido/actividades/ActividadesDeportivas";"";
11383842;"Juegos Deportivos Municipales";"";"1";"1";"S,D";"";"2021-05-08 00:00:00.0";"2021-05-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b1f81d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"1";"AVENIDA";"DE LAS AGUILAS";"14";"LATINA";"LAS AGUILAS";"28044";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"/contenido/actividades/ActividadesDeportivas";"";
11383825;"Juegos Deportivos Municipales";"";"1";"1";"S,D";"";"2021-05-08 00:00:00.0";"2021-05-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=21c81d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d92d79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Gallur";"1";"CALLE";"GALLUR";"2";"LATINA";"LOS CARMENES";"28047";"437595";"4472245";"40.398465832065";"-3.7353834506869217";"/contenido/actividades/ActividadesDeportivas";"";
11234133;"Marcha nórdica";"";"0";"1";"L,M,X,J,V,S,D";"";"2020-10-01 00:00:00.0";"2021-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ae9a9c5e20d4710VgnVCM2000001f4a900aRCRD";"Marcha nórdica";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=336905459682e510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11363838;"Seminarios de autoprotección para mujeres 2ª Fase 2021";"";"0";"1";"L,D";"";"2021-04-24 00:00:00.0";"2021-06-27 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bbfcc811b8710VgnVCM1000001d4a900aRCRD";"Seminarios de autoprotección para mujeres 2ª Fase 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bafa024412e4f510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"/usuario/Jovenes,/usuario/Mujeres";
11383862;"Torneo Voley Playa";"";"1";"1";"D";"";"2021-05-16 00:00:00.0";"2021-05-23 23:59:00.0";"09:00";"Dirección General de Deportes.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e1691d2233229710VgnVCM2000001f4a900aRCRD";"Actividades deportivas en distrito Latina";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b3d0b2af890710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"1";"AVENIDA";"DE LAS AGUILAS";"14";"LATINA";"LAS AGUILAS";"28044";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"/contenido/actividades/ActividadesDeportivas";"";
