,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
0,F,18,U,GT3,A,4,4,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,6,2,17
1,F,17,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,4,2,16
2,F,15,U,LE3,T,1,1,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,10,5,25
3,F,15,U,GT3,T,4,2,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,2,2,44
4,F,16,U,GT3,T,3,3,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,4,3,26
5,M,16,U,LE3,T,4,3,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,10,3,45
6,M,16,U,LE3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,0,2,35
7,F,17,U,GT3,A,4,4,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,6,2,17
8,M,15,U,LE3,A,3,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,0,2,53
9,M,15,U,GT3,T,3,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,0,2,44
10,F,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,0,3,27
11,F,15,U,GT3,T,2,1,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,4,2,34
12,M,15,U,LE3,T,4,4,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,42
13,M,15,U,GT3,T,4,3,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,2,3,31
14,M,15,U,GT3,A,2,2,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,0,2,46
15,F,16,U,GT3,T,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,4,3,42
16,F,16,U,GT3,T,4,4,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,6,3,41
17,F,16,U,GT3,T,3,3,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,4,2,28
18,M,17,U,GT3,T,3,2,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,16,6,16
19,M,16,U,LE3,T,4,3,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,4,4,28
20,M,15,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,0,2,42
21,M,15,U,GT3,T,4,4,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,0,2,42
22,M,16,U,LE3,T,4,2,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,2,4,46
23,M,16,U,LE3,T,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,0,6,38
24,F,15,R,GT3,T,2,4,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,2,2,27
