iter	RMSE
0	3692.427177
1	3429.165361
2	3194.240102
3	2970.994098
4	2760.301313
5	2569.990256
6	2396.341734
7	2243.720613
8	2096.388935
9	1961.940741
10	1836.64147
11	1722.877969
12	1619.497141
13	1523.432337
14	1436.674204
15	1356.488006
16	1284.26941
17	1215.990735
18	1156.31919
19	1101.355289
20	1050.599652
21	1003.441812
22	961.6019436
23	923.5725683
24	887.1768541
25	855.6575509
26	827.8916355
27	802.209022
28	779.3249184
29	757.9461406
30	739.3786958
31	722.1691536
32	706.627617
33	692.226933
34	679.4203536
35	666.7964219
36	656.0964215
37	646.3282147
38	637.6050518
39	629.7342548
40	621.4015618
41	613.5870524
42	607.0014471
43	601.8716587
44	596.4099087
45	592.0836699
46	587.1278883
47	583.6132176
48	579.5903082
49	575.2864163
50	571.3443017
51	568.4136062
52	565.0254129
53	561.8839779
54	558.827834
55	556.2300736
56	553.5763507
57	551.5392093
58	549.2901718
59	547.4529987
60	545.6752398
61	544.0307855
62	542.571876
63	540.8671768
64	539.1704979
65	537.9472033
66	536.8991063
67	535.3507378
68	534.1032371
69	532.7760481
70	531.761951
71	530.6575859
72	529.5160494
73	528.6982412
74	527.5368954
75	526.7025175
76	525.4306761
77	524.6497524
78	523.9214517
79	523.0084509
80	522.0096538
81	520.4210793
82	519.3918903
83	518.5083119
84	517.6629805
85	516.6123976
86	515.711538
87	514.9109425
88	514.1692384
89	513.5946715
90	512.9589306
91	512.2478661
92	511.8642478
93	511.2228948
94	510.7187944
95	509.8629906
96	509.3816291
97	508.8914553
98	508.6205054
99	508.1576447
100	507.7392389
101	507.10019
102	506.6537657
103	506.1137737
104	505.5539295
105	505.1573794
106	504.7881696
107	504.2160976
108	503.8136958
109	503.3576378
110	502.7786736
111	502.0778501
112	501.7974532
113	500.9850828
114	500.6927757
115	500.2244096
116	499.7072978
117	499.3809314
118	498.9186797
119	498.6444371
120	497.960845
121	497.5508559
122	496.8964729
123	496.5885212
124	496.2255467
125	495.8753919
126	495.5631018
127	494.9927822
128	494.4430351
129	494.0985554
130	493.5184126
131	493.014437
132	492.4979202
133	492.0858063
134	491.490626
135	491.297392
136	490.8012812
137	490.4676508
138	490.0060629
139	489.6045507
140	489.4349845
141	489.2827963
142	489.2343224
143	488.9716436
144	488.2631435
145	487.8957482
146	487.5594884
147	487.3937076
148	487.0335665
149	486.8481813
150	486.5604602
151	485.9383485
152	485.4759315
153	485.1959915
154	484.9955109
155	484.7024696
156	484.4271058
157	484.3258625
158	483.8009908
159	483.5916298
160	483.2386076
161	482.9541097
162	482.2702354
163	481.7089498
164	481.5583711
165	481.2067966
166	480.6310164
167	480.1494064
168	480.1018234
169	479.8202694
170	479.4419876
171	478.984936
172	478.8585375
173	478.6138914
174	478.4546994
175	478.3273611
176	478.3209591
177	478.1125219
178	477.613916
179	477.0462149
180	476.4385154
181	476.0748439
182	476.0344565
183	475.6603442
184	475.0406195
185	474.886192
186	474.419463
187	473.9958219
188	473.7898535
189	473.4169125
190	473.0629188
191	473.0545861
192	472.8032352
193	472.5218236
194	472.0542642
195	472.0293502
196	471.822248
197	471.6065106
198	471.342471
199	471.0965151
200	470.8045684
201	470.4034726
202	470.1893028
203	469.8973951
204	469.4845358
205	469.375595
206	469.1621038
207	468.58028
208	468.3277554
209	467.9371032
210	467.7516597
211	467.4337285
212	467.0480616
213	466.6505466
214	466.1004367
215	465.7377519
216	465.4845348
217	464.9640606
218	464.5082467
219	464.2063047
220	463.8763921
221	463.488443
222	463.3000068
223	463.0763613
224	462.4015055
225	462.1638663
226	461.8812309
227	461.6511765
228	461.4853868
229	461.0892356
230	460.6475321
231	460.6328274
232	460.2918922
233	459.9315425
234	459.6885294
235	459.6076699
236	459.2145037
237	458.7550439
238	458.5909306
239	458.3840894
240	458.1590795
241	457.874985
242	457.6177004
243	457.2224897
244	456.8005811
245	456.4789042
246	456.1159966
247	455.8727177
248	455.5807128
249	455.12624
250	454.8984918
251	454.6303187
252	454.2060711
253	453.6155863
254	453.4551795
255	453.4493055
256	453.1380722
257	452.9554573
258	452.8415197
259	452.1790613
260	451.7168946
261	450.9785638
262	450.8179472
263	450.6812015
264	450.491008
265	450.0600788
266	449.901903
267	449.53255
268	449.1428175
269	448.7597728
270	448.6163132
271	448.3565609
272	447.9980706
273	447.9137058
274	447.5959557
275	447.3859615
276	447.1781882
277	446.5530396
278	446.2774292
279	445.9723808
280	445.4507752
281	445.2678575
282	445.2075225
283	444.9571582
284	444.7523508
285	444.4789272
286	444.2721132
287	444.0031544
288	443.5458214
289	443.1465779
290	442.7797931
291	442.5639115
292	442.346842
293	442.1776774
294	441.8629816
295	441.7022324
296	441.5451483
297	441.3638485
298	441.1260176
299	440.8348435
300	440.434546
301	440.040169
302	439.7581683
303	439.4366763
304	439.0561478
305	438.8331416
306	438.3916679
307	437.8844874
308	437.6838644
309	437.6790657
310	437.4420182
311	436.8300327
312	436.6444987
313	436.3984975
314	436.2890644
315	436.0747641
316	435.8782584
317	435.5857837
318	435.2814287
319	435.2768067
320	434.9961568
321	434.7437047
322	434.4171415
323	434.4148563
324	434.2972088
325	434.2950643
326	434.0643067
327	433.7218015
328	433.4698265
329	433.4656867
330	433.4636978
331	433.3620728
332	432.9074832
333	432.584486
334	432.2998699
335	432.1606323
336	431.8819223
337	431.7484456
338	431.4492905
339	431.0667939
340	430.8531742
341	430.6649178
342	430.4939953
343	430.1940973
344	430.0851467
345	429.9249
346	429.7092528
347	429.5183957
348	429.1591551
349	429.1195609
350	428.8800349
351	428.6267841
352	428.3767991
353	428.0970408
354	427.6797517
355	427.452531
356	427.0298651
357	426.7240661
358	426.4390814
359	426.2551042
360	426.097568
361	425.9120952
362	425.5241086
363	425.1702186
364	424.9805592
365	424.8230874
366	424.5955596
367	424.4507299
368	424.195589
369	423.9727476
370	423.5672375
371	423.4748167
372	423.1202438
373	422.947114
374	422.7725514
375	422.5920435
376	422.2993659
377	421.9910534
378	421.8429397
379	421.6612249
380	421.4859463
381	421.1607581
382	421.0051929
383	420.8884854
384	420.6198337
385	420.3387752
386	420.2327446
387	419.9500977
388	419.8520396
389	419.7114585
390	419.585797
391	419.3621252
392	419.2888685
393	419.0549988
394	418.8888002
395	418.6151438
396	418.5368464
397	418.351909
398	418.0347302
399	417.9993404
400	417.9607508
401	417.6086355
402	417.3802294
403	417.1684496
404	417.0669313
405	416.8936298
406	416.7115598
407	416.564315
408	416.4767439
409	416.3484489
410	416.0420987
411	415.8954663
412	415.4982129
413	415.2455596
414	415.1349654
415	415.0024941
416	414.9261158
417	414.8283383
418	414.5984998
419	414.3898996
420	414.145996
421	414.0199035
422	413.866038
423	413.7257001
424	413.6083806
425	413.3280177
426	412.9556656
427	412.875712
428	412.7507055
429	412.6698157
430	412.4764011
431	412.3870479
432	412.2930886
433	412.114022
434	411.8205588
435	411.5994842
436	411.3723991
437	411.1645175
438	410.9740314
439	410.8652595
440	410.5351405
441	410.2371091
442	410.1722741
443	409.9999423
444	409.8972063
445	409.8733494
446	409.6658647
447	409.3907786
448	409.2496716
449	409.1181071
450	409.0073066
451	408.7251115
452	408.5011417
453	408.1951929
454	408.0827265
455	407.990337
456	407.7238488
457	407.5534834
458	407.2636007
459	407.1572773
460	406.9627086
461	406.868244
462	406.5242628
463	406.3676875
464	406.3175698
465	406.1461505
466	406.1273687
467	405.8412253
468	405.556312
469	405.5352965
470	405.4343868
471	405.3066839
472	404.9965178
473	404.7704655
474	404.4880373
475	404.2802522
476	404.1051403
477	403.8465852
478	403.5886462
479	403.3835125
480	403.2034161
481	403.0926656
482	402.8384055
483	402.6006569
484	402.5783296
485	402.4828411
486	402.1971385
487	401.908184
488	401.8169985
489	401.6239681
490	401.578973
491	401.4749921
492	401.1952151
493	401.0094091
494	400.6379102
495	400.53398
496	400.3618359
497	400.0133046
498	399.6702407
499	399.3425401
500	399.2610696
501	398.9584515
502	398.8219399
503	398.5469477
504	398.3814211
505	398.2143469
506	398.1204973
507	397.8711997
508	397.6270451
509	397.4869194
510	397.2219064
511	397.1536089
512	397.0281241
513	396.8614625
514	396.6859117
515	396.5415769
516	396.4082053
517	396.2150827
518	396.1416444
519	395.7796401
520	395.7092125
521	395.4969595
522	395.3001009
523	395.177273
524	394.9114096
525	394.8460329
526	394.7498092
527	394.5637653
528	394.4649276
529	394.2347286
530	394.2105792
531	394.0578598
532	393.9073129
533	393.7719712
534	393.7139436
535	393.481794
536	393.3641775
537	393.2243082
538	393.1240232
539	393.0783057
540	392.8389647
541	392.5431889
542	392.3926663
543	392.3061188
544	392.0631428
545	391.7751072
546	391.7185637
547	391.4853307
548	391.2265657
549	390.9429084
550	390.6877201
551	390.4835167
552	390.3213107
553	390.1901781
554	390.0033189
555	389.8780957
556	389.5684815
557	389.3824547
558	389.0735043
559	388.849073
560	388.5457602
561	388.4459261
562	388.3212965
563	388.1994227
564	388.1174157
565	388.051313
566	387.8529498
567	387.651315
568	387.3563359
569	387.1076849
570	386.7572501
571	386.6303815
572	386.5386856
573	386.2735996
574	386.0744843
575	385.904598
576	385.6567626
577	385.3985587
578	385.316944
579	385.1229609
580	385.0238182
581	384.8511229
582	384.6549255
583	384.504446
584	384.3745602
585	384.2727607
586	384.145493
587	384.0777197
588	383.9733509
589	383.7363375
590	383.4938187
591	383.2486819
592	383.199475
593	382.9266564
594	382.8326076
595	382.7321413
596	382.5482674
597	382.2605779
598	381.9442321
599	381.676442
600	381.5314382
601	381.3575716
602	381.3061106
603	381.132777
604	381.0513163
605	380.9888504
606	380.8972867
607	380.760173
608	380.6029727
609	380.3834373
610	380.3205798
611	380.156864
612	380.0167331
613	379.7325543
614	379.6656353
615	379.5481276
616	379.3980787
617	379.2341722
618	379.1116651
619	378.9890977
620	378.8083703
621	378.598042
622	378.4083641
623	378.2084881
624	378.1534377
625	377.9882897
626	377.8439123
627	377.722831
628	377.5855516
629	377.4994518
630	377.2582804
631	377.1199599
632	376.9617661
633	376.6185582
634	376.432334
635	376.1247024
636	375.9772137
637	375.8430008
638	375.7344815
639	375.5557448
640	375.5072608
641	375.4764192
642	375.2595092
643	375.1639064
644	375.0299906
645	374.7550966
646	374.6197733
647	374.4531791
648	374.4116654
649	374.2117103
650	373.9242604
651	373.6939954
652	373.5056961
653	373.4619104
654	373.3141782
655	373.1233497
656	372.9137833
657	372.8087245
658	372.6476822
659	372.5110313
660	372.4663339
661	372.3271719
662	372.0598102
663	371.7778865
664	371.7259398
665	371.5424742
666	371.3435041
667	371.2272386
668	371.1649617
669	371.044086
670	370.9499568
671	370.7431863
672	370.6007182
673	370.4106088
674	370.3024106
675	370.1667942
676	370.1210583
677	369.9217937
678	369.8004679
679	369.6472646
680	369.4469627
681	369.2814867
682	369.1274313
683	369.0553443
684	368.836207
685	368.6952198
686	368.5538877
687	368.3888764
688	368.2995267
689	368.197822
690	368.0944745
691	368.039787
692	367.8521136
693	367.6353755
694	367.5297423
695	367.3289218
696	367.2464448
697	367.1270798
698	366.9478913
699	366.8048498
700	366.6192335
701	366.5349759
702	366.3273235
703	366.2385697
704	366.1406773
705	366.0354631
706	365.8781646
707	365.6939699
708	365.606042
709	365.5289805
710	365.3919384
711	365.2630929
712	365.0881149
713	364.8784872
714	364.7517814
715	364.5962458
716	364.3354561
717	364.2346569
718	364.1553666
719	364.1067428
720	364.0336948
721	363.905381
722	363.8333271
723	363.6657631
724	363.5852284
725	363.4819546
726	363.4037
727	363.3233295
728	363.1166184
729	363.0612812
730	362.9935454
731	362.7003746
732	362.5110943
733	362.3951888
734	362.3276555
735	362.2035612
736	361.9995721
737	361.8756975
738	361.7919213
739	361.6382045
740	361.4801401
741	361.2819961
742	361.1668783
743	361.0214567
744	360.8468882
745	360.7628171
746	360.6213947
747	360.5445629
748	360.4510533
749	360.3514393
750	360.2177029
751	360.0932566
752	360.0091446
753	359.8758614
754	359.6160604
755	359.5016571
756	359.4310108
757	359.340072
758	359.228182
759	359.2179219
760	358.8312357
761	358.7317705
762	358.6507399
763	358.5814791
764	358.5396882
765	358.2908227
766	358.136364
767	357.893921
768	357.7411137
769	357.4940783
770	357.3636329
771	357.2402529
772	357.1098533
773	357.0116575
774	356.9144917
775	356.6417719
776	356.4856654
777	356.3103033
778	356.1791966
779	356.0442049
780	355.9264337
781	355.8681983
782	355.7734095
783	355.6504672
784	355.515644
785	355.4404838
786	355.3703139
787	355.280127
788	355.1767445
789	355.102912
790	355.0208336
791	354.9559551
792	354.8915712
793	354.8005035
794	354.6723726
795	354.5745952
796	354.4159138
797	354.2894921
798	354.2286836
799	354.097296
800	353.9302856
801	353.7718777
802	353.6779633
803	353.6118627
804	353.4887227
805	353.4124789
806	353.2775365
807	353.1320252
808	352.9975006
809	352.945924
810	352.8643748
811	352.7525505
812	352.6543811
813	352.5882313
814	352.5536919
815	352.3493939
816	352.2713222
817	352.1473404
818	352.0339381
819	351.9285065
820	351.7211822
821	351.6798566
822	351.6689561
823	351.5841578
824	351.3928002
825	351.2497451
826	351.1418051
827	351.0661983
828	351.0112174
829	350.9686528
830	350.8893952
831	350.7566295
832	350.6500073
833	350.5993497
834	350.4308866
835	350.3364928
836	350.2753548
837	350.1693557
838	350.0049796
839	349.8251086
840	349.6266957
841	349.50045
842	349.3532942
843	349.1862699
844	349.1030426
845	349.0214337
846	348.8575441
847	348.7143052
848	348.6223209
849	348.5440751
850	348.4992328
851	348.405219
852	348.3695598
853	348.2232854
854	348.1693843
855	347.994692
856	347.8200377
857	347.7277232
858	347.6382231
859	347.4154033
860	347.3654822
861	347.2746461
862	347.2313114
863	347.1548477
864	346.9883393
865	346.8953849
866	346.8447742
867	346.6547629
868	346.4697274
869	346.3063817
870	346.2389973
871	346.2040594
872	346.1534005
873	346.0222243
874	345.9507742
875	345.8445096
876	345.725121
877	345.6475287
878	345.5621523
879	345.5039401
880	345.4603862
881	345.2881165
882	345.1963707
883	345.0893131
884	344.9778745
885	344.8652749
886	344.730506
887	344.5754323
888	344.5425192
889	344.4606162
890	344.4097107
891	344.2950387
892	344.1856915
893	344.0673124
894	343.9737963
895	343.874646
896	343.6500883
897	343.5632999
898	343.3533245
899	343.3400612
900	343.22125
901	343.0976678
902	342.9954592
903	342.8057365
904	342.6439986
905	342.5397148
906	342.4365045
907	342.3154107
908	342.2427044
909	342.2128057
910	342.1029802
911	341.9981885
912	341.9031665
913	341.7876689
914	341.6852226
915	341.6171899
916	341.5493116
917	341.3252106
918	341.2228211
919	341.0937265
920	341.0474246
921	340.9692289
922	340.9045702
923	340.8452025
924	340.7014061
925	340.5491794
926	340.4822872
927	340.3347608
928	340.2546737
929	340.2302073
930	340.0283559
931	339.9184981
932	339.742255
933	339.6787665
934	339.5901345
935	339.3846256
936	339.2946376
937	339.1600504
938	339.0753293
939	338.9655945
940	338.8812675
941	338.7323231
942	338.614467
943	338.5355542
944	338.3518113
945	338.2513701
946	338.0830534
947	338.0691106
948	337.8725555
949	337.8484578
950	337.7819558
951	337.6552359
952	337.600936
953	337.4950757
954	337.3437241
955	337.2706754
956	337.2240574
957	337.1902216
958	337.0343693
959	336.9349632
960	336.8908874
961	336.707639
962	336.6255026
963	336.5170705
964	336.4403141
965	336.1876281
966	336.1143172
967	336.0495708
968	335.9048256
969	335.7718058
970	335.6179704
971	335.5329115
972	335.4404646
973	335.4364267
974	335.3829114
975	335.2708685
976	335.2319728
977	335.2080004
978	335.1716105
979	335.1447369
980	335.0859107
981	335.0179906
982	334.9640789
983	334.826547
984	334.7583473
985	334.6656792
986	334.5754568
987	334.5453968
988	334.47379
989	334.4272729
990	334.3987672
991	334.3407813
992	334.1210231
993	333.9901453
994	333.8182051
995	333.7559882
996	333.6505658
997	333.6193106
998	333.4813529
999	333.4448803
1000	333.4113198
1001	333.255347
1002	333.2020999
1003	333.1002015
1004	333.0106001
1005	332.9223977
1006	332.8948186
1007	332.8523644
1008	332.7879167
1009	332.7830869
1010	332.6622035
1011	332.6461529
1012	332.5587345
1013	332.5000831
1014	332.4988507
1015	332.3152001
1016	332.2589152
1017	332.2219999
1018	332.0786847
1019	331.9727922
1020	331.9014266
1021	331.6856875
1022	331.6546922
1023	331.5089468
1024	331.4433778
1025	331.2309351
1026	331.1507948
1027	331.0764195
1028	330.9792031
1029	330.8044655
1030	330.8003367
1031	330.6158888
1032	330.5102676
1033	330.4523401
1034	330.3744914
1035	330.3244039
1036	330.2105253
1037	330.1859844
1038	330.0603738
1039	329.9355602
1040	329.8599719
1041	329.7655238
1042	329.7633503
1043	329.6210617
1044	329.476837
1045	329.3013438
1046	329.1959886
1047	329.0502634
1048	328.8526577
1049	328.8198643
1050	328.7334119
1051	328.6359577
1052	328.5573125
1053	328.4441392
1054	328.3914157
1055	328.2378563
1056	328.0927376
1057	328.0379587
1058	327.8803781
1059	327.7956593
1060	327.695952
1061	327.5884028
1062	327.4519813
1063	327.3051646
1064	327.1839373
1065	326.9897927
1066	326.968201
1067	326.9066115
1068	326.7794354
1069	326.6850455
1070	326.602445
1071	326.4634568
1072	326.3093567
1073	326.2200174
1074	326.1774629
1075	326.0175752
1076	325.915459
1077	325.8866487
1078	325.8234762
1079	325.772962
1080	325.6331403
1081	325.5341967
1082	325.4265309
1083	325.3472949
1084	325.2405412
1085	325.1321273
1086	325.0651838
1087	324.969973
1088	324.6799638
1089	324.5154948
1090	324.3840374
1091	324.2876573
1092	324.2507658
1093	324.1715002
1094	324.1053155
1095	324.000078
1096	323.8781678
1097	323.7980008
1098	323.7241865
1099	323.6337601
1100	323.428294
1101	323.3625614
1102	323.2773382
1103	323.1528777
1104	323.0646762
1105	322.9433152
1106	322.836053
1107	322.7806057
1108	322.6564298
1109	322.5539977
1110	322.4476238
1111	322.4087342
1112	322.3139408
1113	322.2499307
1114	322.1195477
1115	322.0110599
1116	321.8585553
1117	321.804221
1118	321.6423819
1119	321.6053044
1120	321.4617099
1121	321.373209
1122	321.240114
1123	321.1164704
1124	321.0351916
1125	320.9059158
1126	320.7454323
1127	320.6552813
1128	320.5510188
1129	320.4761008
1130	320.3887646
1131	320.3353621
1132	320.3115089
1133	320.1616051
1134	320.0972368
1135	319.9526436
1136	319.89533
1137	319.7973242
1138	319.746016
1139	319.6120476
1140	319.4781953
1141	319.3519239
1142	319.2518612
1143	319.1339126
1144	319.098217
1145	319.0529887
1146	318.9344532
1147	318.7358593
1148	318.6878128
1149	318.6434995
1150	318.6029098
1151	318.5012426
1152	318.409271
1153	318.3143551
1154	318.2429863
1155	318.0933539
1156	317.9834616
1157	317.9042828
1158	317.809993
1159	317.7738888
1160	317.6379181
1161	317.523529
1162	317.416117
1163	317.3154337
1164	317.2491623
1165	317.1960818
1166	317.073228
1167	316.9722638
1168	316.9149989
1169	316.7607026
1170	316.6759022
1171	316.6195768
1172	316.5887103
1173	316.4971277
1174	316.4031217
1175	316.3448456
1176	316.3168654
1177	316.2309792
1178	316.1575874
1179	316.0894605
1180	316.0638704
1181	316.0500375
1182	316.0173985
1183	315.9617976
1184	315.8384276
1185	315.7250746
1186	315.6402784
1187	315.5388636
1188	315.4971321
1189	315.4321584
1190	315.3647567
1191	315.1836699
1192	315.1659624
1193	315.056188
1194	314.9882574
1195	314.8447781
1196	314.6952614
1197	314.6337478
1198	314.6108315
1199	314.5508339
1200	314.4739872
1201	314.3958362
1202	314.3028127
1203	314.2284696
1204	314.091699
1205	314.0119679
1206	313.9157244
1207	313.8545495
1208	313.8150706
1209	313.671534
1210	313.5358466
1211	313.4111341
1212	313.3772308
1213	313.2071314
1214	313.1210859
1215	313.0509441
1216	312.9586762
1217	312.8481031
1218	312.6999507
1219	312.5701015
1220	312.4188347
1221	312.3799734
1222	312.1842086
1223	312.0521771
1224	312.0329701
1225	312.0007529
1226	311.961322
1227	311.9161703
1228	311.8599208
1229	311.7459135
1230	311.6257994
1231	311.5280183
1232	311.4783785
1233	311.3558753
1234	311.3008986
1235	311.2699968
1236	311.1684904
1237	311.1058139
1238	310.991239
1239	310.90913
1240	310.8658675
1241	310.781418
1242	310.7697405
1243	310.6121278
1244	310.5908456
1245	310.51371
1246	310.4593803
1247	310.3451103
1248	310.1504269
1249	310.0862455
1250	309.9969451
1251	309.9439255
1252	309.8799639
1253	309.7884789
1254	309.7320357
1255	309.6510672
1256	309.5952088
1257	309.5117516
1258	309.4487622
1259	309.4118655
1260	309.3480439
1261	309.2269423
1262	309.1629508
1263	309.0982052
1264	309.067026
1265	308.9638465
1266	308.9553044
1267	308.8741796
1268	308.8660833
1269	308.752084
1270	308.6033347
1271	308.5276901
1272	308.4659715
1273	308.4583186
1274	308.3624621
1275	308.2878999
1276	308.2203029
1277	308.1072941
1278	308.0070171
1279	307.9418765
1280	307.854413
1281	307.7407718
1282	307.5786045
1283	307.4135973
1284	307.3394055
1285	307.2887146
1286	307.2063737
1287	307.1792805
1288	307.0372213
1289	307.0005075
1290	306.9548154
1291	306.9078172
1292	306.7953827
1293	306.6852124
1294	306.5335954
1295	306.4654155
1296	306.3956848
1297	306.297483
1298	306.1731559
1299	306.0886842
